,NovTwitterScore
ARI,22.919999999999998
ATL,24.78833333333333
BAL,22.278333333333336
BOS,19.00166666666667
CHC,17.143333333333334
CHW,18.713333333333335
CIN,19.775
CLE,19.843333333333334
COL,17.283333333333335
DET,18.623333333333335
HOU,16.36666666666667
KCR,18.316666666666666
LAA,21.043333333333333
LAD,20.686666666666667
MIA,22.459999999999997
MIL,20.4
MIN,18.87
NYM,21.046666666666667
NYY,23.69333333333333
OAK,23.27333333333333
PHI,23.018333333333334
PIT,22.936666666666667
SDP,21.755
SFG,20.983333333333334
SEA,22.75166666666667
STL,24.076666666666668
TBR,25.314999999999998
TEX,24.786666666666665
TOR,25.32166666666667
WSN,26.816666666666663
